iter	Passed	Remaining
580	3307	2385
581	3313	2379
582	3318	2373
583	3324	2368
584	3329	2362
585	3335	2356
586	3340	2350
587	3346	2344
588	3351	2338
589	3357	2332
590	3362	2326
591	3367	2321
592	3373	2315
593	3378	2309
594	3384	2303
595	3390	2298
596	3396	2292
597	3401	2286
598	3407	2281
599	3413	2275
600	3418	2269
601	3424	2264
602	3430	2258
603	3436	2252
604	3441	2247
605	3447	2241
606	3453	2235
607	3458	2230
608	3464	2224
609	3469	2218
610	3475	2212
611	3480	2206
612	3486	2200
613	3491	2195
614	3497	2189
615	3502	2183
616	3507	2177
617	3513	2171
618	3519	2166
619	3524	2160
620	3529	2154
621	3535	2148
622	3540	2142
623	3546	2136
624	3551	2130
625	3556	2124
626	3561	2119
627	3567	2113
628	3572	2107
629	3577	2101
630	3583	2095
631	3588	2089
632	3594	2083
633	3600	2078
634	3606	2072
635	3611	2067
636	3618	2062
637	3623	2056
638	3629	2050
639	3635	2045
640	3641	2039
641	3647	2033
642	3652	2027
643	3657	2022
644	3663	2016
645	3668	2010
646	3674	2004
647	3681	1999
648	3686	1994
649	3692	1988
650	3697	1982
651	3702	1976
652	3708	1970
653	3713	1964
654	3718	1958
655	3724	1953
656	3730	1947
657	3735	1941
658	3741	1936
659	3746	1930
660	3752	1924
661	3757	1918
662	3763	1912
663	3768	1907
664	3774	1901
665	3779	1895
666	3784	1889
667	3790	1883
668	3796	1878
669	3801	1872
670	3807	1866
671	3812	1861
672	3818	1855
673	3823	1849
674	3829	1843
675	3834	1837
676	3839	1832
677	3845	1826
678	3850	1820
679	3856	1814
680	3861	1809
681	3868	1803
682	3873	1797
683	3879	1792
684	3884	1786
685	3890	1780
686	3896	1775
687	3901	1769
688	3907	1763
689	3912	1757
690	3918	1752
691	3923	1746
692	3929	1740
693	3934	1735
694	3940	1729
695	3946	1723
696	3951	1717
697	3957	1712
698	3962	1706
699	3968	1700
700	3973	1694
701	3979	1689
702	3985	1683
703	3990	1677
704	3996	1672
705	4002	1666
706	4007	1660
707	4013	1655
708	4018	1649
709	4024	1643
710	4030	1638
711	4036	1632
712	4042	1627
713	4047	1621
714	4053	1615
715	4059	1610
716	4064	1604
717	4070	1598
718	4076	1593
719	4081	1587
720	4087	1581
721	4092	1575
722	4098	1570
723	4104	1564
724	4110	1559
725	4115	1553
726	4121	1547
727	4127	1542
728	4132	1536
729	4138	1530
730	4144	1525
731	4149	1519
732	4155	1513
733	4161	1508
734	4166	1502
735	4173	1497
736	4179	1491
737	4185	1485
738	4191	1480
739	4196	1474
740	4202	1468
741	4208	1463
742	4213	1457
743	4219	1451
744	4225	1446
745	4230	1440
746	4236	1434
747	4242	1429
748	4247	1423
749	4253	1417
750	4258	1412
751	4264	1406
752	4269	1400
753	4275	1394
754	4281	1389
755	4286	1383
756	4292	1377
757	4297	1372
758	4303	1366
759	4308	1360
760	4314	1354
761	4319	1349
762	4325	1343
763	4331	1337
764	4336	1332
765	4342	1326
766	4347	1320
767	4353	1315
768	4359	1309
769	4365	1303
770	4370	1298
771	4376	1292
772	4382	1286
773	4387	1281
774	4393	1275
775	4398	1269
776	4404	1264
777	4409	1258
778	4415	1252
779	4420	1246
780	4426	1241
781	4431	1235
782	4437	1229
783	4442	1223
784	4448	1218
785	4453	1212
786	4458	1206
787	4464	1201
788	4469	1195
789	4475	1189
790	4480	1183
791	4486	1178
792	4491	1172
793	4497	1166
